scope	metric_name	metric_value	unit	sample_count	details
app	elasticity	0.9737728803856047	score	5	{"p50_seconds": 1, "p95_seconds": 1, "p99_seconds": 1, "slo_seconds": 30, "mean_seconds": 0.8}
attribution	conflict_count	0	count	2	null
attribution	instance_id_coverage	0	ratio	1	{"methods": {"task-id": {"f1": 1, "links": [{"correct": true, "pod_uid": "57f57d96-57f7-4485-88e4-5f7b57035ef6", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-bs4gd", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}, {"correct": true, "pod_uid": "7956f028-9ec1-4f0c-bb4a-e4f7ad5db62e", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-6hm4x", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}], "recall": 1, "precision": 1, "predictions": 2, "true_positive": 2, "false_negative": 0, "false_positive": 0}, "time-window": {"f1": 1, "links": [{"correct": true, "pod_uid": "57f57d96-57f7-4485-88e4-5f7b57035ef6", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-bs4gd", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}, {"correct": true, "pod_uid": "7956f028-9ec1-4f0c-bb4a-e4f7ad5db62e", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-6hm4x", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}], "recall": 1, "precision": 1, "predictions": 2, "true_positive": 2, "false_negative": 0, "false_positive": 0}, "kubernetes-node": {"f1": 1, "links": [{"correct": true, "pod_uid": "57f57d96-57f7-4485-88e4-5f7b57035ef6", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-bs4gd", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}, {"correct": true, "pod_uid": "7956f028-9ec1-4f0c-bb4a-e4f7ad5db62e", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-6hm4x", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}], "recall": 1, "precision": 1, "predictions": 2, "true_positive": 2, "false_negative": 0, "false_positive": 0}}, "unique_tasks": 1, "observed_nodes": 3, "ground_truth_pods": 2, "unschedulable_pods": 2, "instance_id_coverage": 0, "pod_task_id_coverage": 1, "provider_id_coverage": 1, "node_task_id_coverage": 1, "task_node_conflict_count": 0, "attributed_unschedulable_pods": 2}
attribution	node_task_id_coverage	1	ratio	3	{"methods": {"task-id": {"f1": 1, "links": [{"correct": true, "pod_uid": "57f57d96-57f7-4485-88e4-5f7b57035ef6", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-bs4gd", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}, {"correct": true, "pod_uid": "7956f028-9ec1-4f0c-bb4a-e4f7ad5db62e", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-6hm4x", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}], "recall": 1, "precision": 1, "predictions": 2, "true_positive": 2, "false_negative": 0, "false_positive": 0}, "time-window": {"f1": 1, "links": [{"correct": true, "pod_uid": "57f57d96-57f7-4485-88e4-5f7b57035ef6", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-bs4gd", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}, {"correct": true, "pod_uid": "7956f028-9ec1-4f0c-bb4a-e4f7ad5db62e", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-6hm4x", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}], "recall": 1, "precision": 1, "predictions": 2, "true_positive": 2, "false_negative": 0, "false_positive": 0}, "kubernetes-node": {"f1": 1, "links": [{"correct": true, "pod_uid": "57f57d96-57f7-4485-88e4-5f7b57035ef6", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-bs4gd", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}, {"correct": true, "pod_uid": "7956f028-9ec1-4f0c-bb4a-e4f7ad5db62e", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-6hm4x", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}], "recall": 1, "precision": 1, "predictions": 2, "true_positive": 2, "false_negative": 0, "false_positive": 0}}, "unique_tasks": 1, "observed_nodes": 3, "ground_truth_pods": 2, "unschedulable_pods": 2, "instance_id_coverage": 0, "pod_task_id_coverage": 1, "provider_id_coverage": 1, "node_task_id_coverage": 1, "task_node_conflict_count": 0, "attributed_unschedulable_pods": 2}
attribution	pod_task_id_coverage	1	ratio	2	{"methods": {"task-id": {"f1": 1, "links": [{"correct": true, "pod_uid": "57f57d96-57f7-4485-88e4-5f7b57035ef6", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-bs4gd", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}, {"correct": true, "pod_uid": "7956f028-9ec1-4f0c-bb4a-e4f7ad5db62e", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-6hm4x", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}], "recall": 1, "precision": 1, "predictions": 2, "true_positive": 2, "false_negative": 0, "false_positive": 0}, "time-window": {"f1": 1, "links": [{"correct": true, "pod_uid": "57f57d96-57f7-4485-88e4-5f7b57035ef6", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-bs4gd", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}, {"correct": true, "pod_uid": "7956f028-9ec1-4f0c-bb4a-e4f7ad5db62e", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-6hm4x", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}], "recall": 1, "precision": 1, "predictions": 2, "true_positive": 2, "false_negative": 0, "false_positive": 0}, "kubernetes-node": {"f1": 1, "links": [{"correct": true, "pod_uid": "57f57d96-57f7-4485-88e4-5f7b57035ef6", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-bs4gd", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}, {"correct": true, "pod_uid": "7956f028-9ec1-4f0c-bb4a-e4f7ad5db62e", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-6hm4x", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}], "recall": 1, "precision": 1, "predictions": 2, "true_positive": 2, "false_negative": 0, "false_positive": 0}}, "unique_tasks": 1, "observed_nodes": 3, "ground_truth_pods": 2, "unschedulable_pods": 2, "instance_id_coverage": 0, "pod_task_id_coverage": 1, "provider_id_coverage": 1, "node_task_id_coverage": 1, "task_node_conflict_count": 0, "attributed_unschedulable_pods": 2}
attribution	provider_id_coverage	1	ratio	3	{"methods": {"task-id": {"f1": 1, "links": [{"correct": true, "pod_uid": "57f57d96-57f7-4485-88e4-5f7b57035ef6", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-bs4gd", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}, {"correct": true, "pod_uid": "7956f028-9ec1-4f0c-bb4a-e4f7ad5db62e", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-6hm4x", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}], "recall": 1, "precision": 1, "predictions": 2, "true_positive": 2, "false_negative": 0, "false_positive": 0}, "time-window": {"f1": 1, "links": [{"correct": true, "pod_uid": "57f57d96-57f7-4485-88e4-5f7b57035ef6", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-bs4gd", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}, {"correct": true, "pod_uid": "7956f028-9ec1-4f0c-bb4a-e4f7ad5db62e", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-6hm4x", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}], "recall": 1, "precision": 1, "predictions": 2, "true_positive": 2, "false_negative": 0, "false_positive": 0}, "kubernetes-node": {"f1": 1, "links": [{"correct": true, "pod_uid": "57f57d96-57f7-4485-88e4-5f7b57035ef6", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-bs4gd", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}, {"correct": true, "pod_uid": "7956f028-9ec1-4f0c-bb4a-e4f7ad5db62e", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-6hm4x", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}], "recall": 1, "precision": 1, "predictions": 2, "true_positive": 2, "false_negative": 0, "false_positive": 0}}, "unique_tasks": 1, "observed_nodes": 3, "ground_truth_pods": 2, "unschedulable_pods": 2, "instance_id_coverage": 0, "pod_task_id_coverage": 1, "provider_id_coverage": 1, "node_task_id_coverage": 1, "task_node_conflict_count": 0, "attributed_unschedulable_pods": 2}
attribution/kubernetes-node	f1	1	ratio	2	{"f1": 1, "links": [{"correct": true, "pod_uid": "57f57d96-57f7-4485-88e4-5f7b57035ef6", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-bs4gd", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}, {"correct": true, "pod_uid": "7956f028-9ec1-4f0c-bb4a-e4f7ad5db62e", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-6hm4x", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}], "recall": 1, "precision": 1, "predictions": 2, "true_positive": 2, "false_negative": 0, "false_positive": 0}
attribution/kubernetes-node	precision	1	ratio	2	{"f1": 1, "links": [{"correct": true, "pod_uid": "57f57d96-57f7-4485-88e4-5f7b57035ef6", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-bs4gd", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}, {"correct": true, "pod_uid": "7956f028-9ec1-4f0c-bb4a-e4f7ad5db62e", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-6hm4x", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}], "recall": 1, "precision": 1, "predictions": 2, "true_positive": 2, "false_negative": 0, "false_positive": 0}
attribution/kubernetes-node	recall	1	ratio	2	{"f1": 1, "links": [{"correct": true, "pod_uid": "57f57d96-57f7-4485-88e4-5f7b57035ef6", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-bs4gd", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}, {"correct": true, "pod_uid": "7956f028-9ec1-4f0c-bb4a-e4f7ad5db62e", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-6hm4x", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}], "recall": 1, "precision": 1, "predictions": 2, "true_positive": 2, "false_negative": 0, "false_positive": 0}
attribution/task-id	f1	1	ratio	2	{"f1": 1, "links": [{"correct": true, "pod_uid": "57f57d96-57f7-4485-88e4-5f7b57035ef6", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-bs4gd", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}, {"correct": true, "pod_uid": "7956f028-9ec1-4f0c-bb4a-e4f7ad5db62e", "pod_name": "a01-g2-wave1-01ky16b9-65d4578-6hm4x", "candidate_node": "cn-wulanchabu.10.223.26.187", "expected_task_id": "asa-0jl10371l7ikd00ky1x1", "candidate_task_id": "asa-0jl10371l7ikd00ky1x1", "expected_node_name": "cn-wulanchabu.10.223.26.187"}], "recall": 1, "precision": 1, "predictions": 2, "true_positive": 2, "false_negative": 0, "false_positive": 0}
