pod_name	container_name	node_name	complete	node_ms	image_ms	pod_ms	app_ms	total_ms	quality
ack-node-problem-detector-daemonset-wzxd5	ack-node-problem-detector	cn-wulanchabu.10.100.120.126	1	NULL	8000	NULL	NULL	NULL	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "image_approximate": true}
csi-plugin-m785n	csi-plugin	cn-wulanchabu.10.100.120.126	1	NULL	5000	NULL	4000	NULL	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "image_approximate": true}
csi-plugin-m785n	disk-driver-registrar	cn-wulanchabu.10.100.120.126	1	NULL	1000	NULL	3000	NULL	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "image_approximate": true}
csi-plugin-m785n	init	cn-wulanchabu.10.100.120.126	1	NULL	3000	NULL	11000	NULL	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "image_approximate": true}
csi-plugin-m785n	nas-driver-registrar	cn-wulanchabu.10.100.120.126	1	NULL	1000	NULL	3000	NULL	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "image_approximate": true}
csi-plugin-m785n	oss-driver-registrar	cn-wulanchabu.10.100.120.126	1	NULL	1000	NULL	3000	NULL	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "image_approximate": true}
hooke-node-scale-smoke-01kxyqe1-74bcc784dc-72wz6	app	cn-wulanchabu.10.176.70.124	1	NULL	NULL	NULL	10000	11000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
hooke-node-scale-smoke-01kxyqe1-74bcc784dc-xtghj	app	cn-wulanchabu.10.100.120.126	1	69000	1000	17000	1000	88000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "node_approximate": true, "node_start_event": "POD_UNSCHEDULABLE", "image_approximate": true}
hooke-node-scale-smoke-01kxyqe1-74bcc784dc-xwbdd	app	cn-wulanchabu.10.100.120.126	1	69000	4000	17000	1000	88000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "node_approximate": true, "node_start_event": "POD_UNSCHEDULABLE", "image_approximate": true}
hooke-smoke-app-01kxyqe1-55967d56f5-2bklf	app	cn-wulanchabu.10.176.70.124	1	NULL	NULL	NULL	10000	10000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
hooke-smoke-app-01kxyqe1-55967d56f5-845g6	app	cn-wulanchabu.10.176.70.124	1	NULL	NULL	1000	9000	10000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
hooke-smoke-app-01kxyqe1-55967d56f5-xcgbc	app	cn-wulanchabu.10.176.70.124	1	NULL	NULL	1000	10000	11000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
kube-flannel-ds-8ntlw	install-cni	cn-wulanchabu.10.100.120.126	1	NULL	6000	NULL	1000	NULL	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "image_approximate": true}
kube-flannel-ds-8ntlw	install-cni-plugin	cn-wulanchabu.10.100.120.126	1	NULL	6000	NULL	3000	NULL	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "image_approximate": true}
kube-flannel-ds-8ntlw	kube-flannel	cn-wulanchabu.10.100.120.126	1	NULL	6000	NULL	NULL	NULL	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "image_approximate": true}
kube-proxy-worker-wr68d	kube-proxy-worker	cn-wulanchabu.10.100.120.126	1	NULL	5000	NULL	NULL	NULL	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "image_approximate": true}
loongcollector-ds-kdc2b	loongcollector	cn-wulanchabu.10.100.120.126	0	NULL	5000	NULL	NULL	NULL	{"image_approximate": true}
node-exporter-5cz2x	kube-rbac-proxy	cn-wulanchabu.10.100.120.126	1	NULL	3000	NULL	NULL	NULL	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "image_approximate": true}
node-exporter-5cz2x	node-exporter	cn-wulanchabu.10.100.120.126	1	NULL	2000	NULL	3000	NULL	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "image_approximate": true}
node-local-dns-xntv7	init-sysctl	cn-wulanchabu.10.100.120.126	1	NULL	2000	NULL	8000	NULL	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "image_approximate": true}
node-local-dns-xntv7	node-cache	cn-wulanchabu.10.100.120.126	1	NULL	6000	NULL	NULL	NULL	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "image_approximate": true}
